readcode,readterm,cat
C10FF,Type II diabetes mellitus with peripheral angiopathy,Diabetes
C10F2,Type 2 diabetes mellitus with neurological complications,Diabetes
F4204,Diabetic maculopathy,Diabetes
C108D,Insulin dependent diabetes mellitus with nephropathy,Diabetes
C1092,Type 2 diabetes mellitus with neurological complications,Diabetes
C108H,Insulin dependent diabetes mellitus with arthropathy,Diabetes
C10EP,Type I diabetes mellitus with exudative maculopathy,Diabetes
C10H0,DM induced by non-steroid drugs without complication,Diabetes
2G5W.,O/E - left chronic diabetic foot ulcer,Diabetes
C10EQ,Type I diabetes mellitus with gastroparesis,Diabetes
C10EB,Type 1 diabetes mellitus with mononeuropathy,Diabetes
C10A5,Malnutritn-relat diabetes melitus wth periph circul complctn,Diabetes
C108z,Unspecified diabetes mellitus with multiple complications,Diabetes
C108G,Insulin dependent diab mell with peripheral angiopathy,Diabetes
C108D,Type I diabetes mellitus with nephropathy,Diabetes
C10F1,Type II diabetes mellitus with ophthalmic complications,Diabetes
C10FR,Type 2 diabetes mellitus with gastroparesis,Diabetes
C10E5,Type 1 diabetes mellitus with ulcer,Diabetes
C10FC,Type II diabetes mellitus with nephropathy,Diabetes
C10F4,Type 2 diabetes mellitus with ulcer,Diabetes
F372.,Diabetic neuropathy,Diabetes
C10EL,Type 1 diabetes mellitus with persistent microalbuminuria,Diabetes
C314.,Renal diabetes,Diabetes
C1095,Type II diabetes mellitus with gangrene,Diabetes
C109A,Non-insulin dependent diabetes mellitus with mononeuropathy,Diabetes
C106y,Other specified diabetes mellitus with neurological comps,Diabetes
C10zy,Other specified diabetes mellitus with unspecified comps,Diabetes
C1083,Type I diabetes mellitus with multiple complications,Diabetes
C1093,Non-insulin-dependent diabetes mellitus with multiple comps,Diabetes
C10FA,Type 2 diabetes mellitus with mononeuropathy,Diabetes
C107z,Diabetes mellitus NOS with peripheral circulatory disorder,Diabetes
C1086,Insulin dependent diabetes mellitus with gangrene,Diabetes
F372.,Polyneuropathy in diabetes,Diabetes
F4207,High risk proliferative diabetic retinopathy,Diabetes
C10E3,Type I diabetes mellitus with multiple complications,Diabetes
F4203,Advanced diabetic maculopathy,Diabetes
C1091,Type II diabetes mellitus with ophthalmic complications,Diabetes
C109C,Non-insulin dependent diabetes mellitus with nephropathy,Diabetes
F4200,Background diabetic retinopathy,Diabetes
C109A,Type II diabetes mellitus with mononeuropathy,Diabetes
C109E,Non-insulin depend diabetes mellitus with diabetic cataract,Diabetes
C10FH,Type 2 diabetes mellitus with neuropathic arthropathy,Diabetes
C109B,Type II diabetes mellitus with polyneuropathy,Diabetes
F3721,Chronic painful diabetic neuropathy,Diabetes
F4202,Preproliferative diabetic retinopathy,Diabetes
C107.,Diabetes with gangrene,Diabetes
C10FA,Type II diabetes mellitus with mononeuropathy,Diabetes
C10E1,Type 1 diabetes mellitus with ophthalmic complications,Diabetes
M2712,Mixed diabetic ulcer - foot,Diabetes
2BBF.,Retinal abnormality - diabetes related,Diabetes
C1041,"Diabetes mellitus, adult onset, with renal manifestation",Diabetes
C107.,Diabetes mellitus with peripheral circulatory disorder,Diabetes
C1094,Type II diabetes mellitus with ulcer,Diabetes
2BBW.,O/E - right eye diabetic maculopathy,Diabetes
2BBr.,Impaired vision due to diabetic retinopathy,Diabetes
C1050,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",Diabetes
F372.,Diabetic polyneuropathy,Diabetes
C10FE,Type II diabetes mellitus with diabetic cataract,Diabetes
C10FM,Type II diabetes mellitus with persistent microalbuminuria,Diabetes
C10FC,Type 2 diabetes mellitus with nephropathy,Diabetes
C10F6,Type 2 diabetes mellitus with retinopathy,Diabetes
C1082,Type 1 diabetes mellitus with neurological complications,Diabetes
2BBR.,O/E - right eye preproliferative diabetic retinopathy,Diabetes
C1090,Type II diabetes mellitus with renal complications,Diabetes
C10E1,Type I diabetes mellitus with ophthalmic complications,Diabetes
2BBo.,O/E - sight threatening diabetic retinopathy,Diabetes
C109E,Type 2 diabetes mellitus with diabetic cataract,Diabetes
C10FE,Type 2 diabetes mellitus with diabetic cataract,Diabetes
C108H,Type I diabetes mellitus with arthropathy,Diabetes
C1090,Non-insulin-dependent diabetes mellitus with renal comps,Diabetes
C1061,"Diabetes mellitus, adult onset, + neurological manifestation",Diabetes
K08yA,Proteinuric diabetic nephropathy,Diabetes
C10F6,Type II diabetes mellitus with retinopathy,Diabetes
C10F3,Type II diabetes mellitus with multiple complications,Diabetes
C10EK,Type 1 diabetes mellitus with persistent proteinuria,Diabetes
66Av.,Diabetic assessment of erectile dysfunction,Diabetes
C109C,Type II diabetes mellitus with nephropathy,Diabetes
2BBk.,O/E - right eye stable treated prolif diabetic retinopathy,Diabetes
C1087,Insulin dependent diabetes mellitus with retinopathy,Diabetes
C10F0,Type II diabetes mellitus with renal complications,Diabetes
250 L,DIABETIC GLOMERULOSCLEROSIS,Diabetes
C10E3,Insulin dependent diabetes mellitus with multiple complicat,Diabetes
C1082,Insulin-dependent diabetes mellitus with neurological comps,Diabetes
C1080,Type I diabetes mellitus with renal complications,Diabetes
C10F2,Type II diabetes mellitus with neurological complications,Diabetes
C1051,"Diabetes mellitus, adult onset, + ophthalmic manifestation",Diabetes
C1095,Type 2 diabetes mellitus with gangrene,Diabetes
C108y,Other specified diabetes mellitus with multiple comps,Diabetes
F3722,Asymptomatic diabetic neuropathy,Diabetes
C10E2,Type 1 diabetes mellitus with neurological complications,Diabetes
C10FM,Type 2 diabetes mellitus with persistent microalbuminuria,Diabetes
C1040,"Diabetes mellitus, juvenile type, with renal manifestation",Diabetes
C109H,Type 2 diabetes mellitus with neuropathic arthropathy,Diabetes
C109G,Non-insulin dependent diabetes mellitus with arthropathy,Diabetes
C10E3,Type 1 diabetes mellitus with multiple complications,Diabetes
250 N,DIABETIC NEPHROPATHY,Diabetes
C1070,"Diabetes mellitus, juvenile +peripheral circulatory disorder",Diabetes
F3720,Acute painful diabetic neuropathy,Diabetes
C10F3,Type 2 diabetes mellitus with multiple complications,Diabetes
C10F5,Type II diabetes mellitus with gangrene,Diabetes
8HBH.,Diabetic retinopathy 6 month review,Diabetes
C1087,Type I diabetes mellitus with retinopathy,Diabetes
C10E6,Insulin dependent diabetes mellitus with gangrene,Diabetes
C104z,Diabetes mellitus with nephropathy NOS,Diabetes
C10FG,Type 2 diabetes mellitus with arthropathy,Diabetes
C108J,Insulin dependent diab mell with neuropathic arthropathy,Diabetes
C108C,Insulin dependent diabetes mellitus with polyneuropathy,Diabetes
F4208,High risk non proliferative diabetic retinopathy,Diabetes
C10E6,Type I diabetes mellitus with gangrene,Diabetes
2G5C.,Foot abnormality - diabetes related,Diabetes
C10z0,"Diabetes mellitus, juvenile type, + unspecified complication",Diabetes
C1093,Type 2 diabetes mellitus with multiple complications,Diabetes
F420.,Diabetic retinopathy,Diabetes
2BBP.,O/E - right eye background diabetic retinopathy,Diabetes
C109F,Type 2 diabetes mellitus with peripheral angiopathy,Diabetes
C10FF,Type 2 diabetes mellitus with peripheral angiopathy,Diabetes
C106z,Diabetes mellitus NOS with neurological manifestation,Diabetes
C10ED,Insulin dependent diabetes mellitus with nephropathy,Diabetes
C10FL,Type 2 diabetes mellitus with persistent proteinuria,Diabetes
F3813,Myasthenic syndrome due to diabetic amyotrophy,Diabetes
C1074,NIDDM with peripheral circulatory disorder,Diabetes
C10E7,Type I diabetes mellitus with retinopathy,Diabetes
C10EC,Type 1 diabetes mellitus with polyneuropathy,Diabetes
C10E0,Insulin-dependent diabetes mellitus with renal complications,Diabetes
C10EL,Type I diabetes mellitus with persistent microalbuminuria,Diabetes
C1085,Type I diabetes mellitus with ulcer,Diabetes
2G5V.,O/E - right chronic diabetic foot ulcer,Diabetes
C10z.,Diabetes mellitus with unspecified complication,Diabetes
C10FH,Type II diabetes mellitus with neuropathic arthropathy,Diabetes
C1096,Type II diabetes mellitus with retinopathy,Diabetes
C1096,Non-insulin-dependent diabetes mellitus with retinopathy,Diabetes
C10E5,Type I diabetes mellitus with ulcer,Diabetes
C109F,Type II diabetes mellitus with peripheral angiopathy,Diabetes
C10ED,Type 1 diabetes mellitus with nephropathy,Diabetes
2G5L.,O/E - Left diabetic foot - ulcerated,Diabetes
C107.,Diabetes mellitus with gangrene,Diabetes
C10EJ,Type 1 diabetes mellitus with neuropathic arthropathy,Diabetes
F3450,Diabetic mononeuritis multiplex,Diabetes
C106.,Diabetic amyotrophy,Diabetes
F3813,Diabetic amyotrophy,Diabetes
C1082,Type I diabetes mellitus with neurological complications,Diabetes
7276,Pan retinal photocoagulation for diabetes,Diabetes
C108J,Type I diabetes mellitus with neuropathic arthropathy,Diabetes
C10EF,Insulin dependent diabetes mellitus with diabetic cataract,Diabetes
C10EP,Type 1 diabetes mellitus with exudative maculopathy,Diabetes
C10FB,Type II diabetes mellitus with polyneuropathy,Diabetes
K27y7,Erectile dysfunction due to diabetes mellitus,Diabetes
C10FL,Type II diabetes mellitus with persistent proteinuria,Diabetes
B5z..,Malignant neoplasm of other and unspecified site NOS,Metastatic solid tumour
ByuC1,[X]Malignant neoplasm/overlap lesion/other+ill-defined sites,Metastatic solid tumour
BB04.,"[M]Neoplasm, malig, uncertain whether primary or metastatic",Metastatic solid tumour
B58y9,Secondary malignant neoplasm of tongue,Metastatic solid tumour
1977M,METASTASIS LIVER,Metastatic solid tumour
B5633,Secondary and unspec malig neop pectoral lymph nodes,Metastatic solid tumour
B59z.,Malignant neoplasm of unspecified site NOS,Metastatic solid tumour
1989M,METASTASIS,Metastatic solid tumour
B5740,Secondary malignant neoplasm of duodenum,Metastatic solid tumour
B56..,Lymph node metastases,Metastatic solid tumour
1982,SKIN SECONDARY DEPOSITS,Metastatic solid tumour
B562.,Secondary and unspec malig neop intra-abdominal lymph nodes,Metastatic solid tumour
B5630,Secondary and unspec malig neop axillary lymph nodes,Metastatic solid tumour
B58y8,Secondary malignant neoplasm of epididymis and vas deferens,Metastatic solid tumour
1983M,METASTASIS CEREBRAL,Metastatic solid tumour
B563.,Secondary and unspec malig neop axilla and upper limb LN,Metastatic solid tumour
B5826,Secondary malignant neoplasm of skin of breast,Metastatic solid tumour
209 B,MYELOFIBROSIS SECONDARY,Metastatic solid tumour
B5761,Secondary malignant neoplasm of peritoneum,Metastatic solid tumour
B58y.,Secondary malignant neoplasm of other specified sites,Metastatic solid tumour
B590.,Carcinomatosis,Metastatic solid tumour
1968M,SECONDARY NEOPLASTIC DEPOSITS MULTI SITE,Metastatic solid tumour
BB851,[M]Metastatic signet ring cell carcinoma,Metastatic solid tumour
B5641,Secondary and unspec malig neop deep inguinal lymph nodes,Metastatic solid tumour
B5830,Secondary malignant neoplasm of brain,Metastatic solid tumour
B594.,Secondary malignant neoplasm of unknown site,Metastatic solid tumour
B5653,Secondary and unspec malig neop sacral lymph nodes,Metastatic solid tumour
B5601,Secondary and unspec malignant neoplasm mastoid lymph nodes,Metastatic solid tumour
1985,SECONDARY NEOPLASTIC DEPOSITS BONE,Metastatic solid tumour
B577.,Secondary malignant neoplasm of liver,Metastatic solid tumour
B58y2,Secondary cancer of the cervix,Metastatic solid tumour
B561z,Secondary and unspec malig neop intrathoracic LN NOS,Metastatic solid tumour
B5614,Secondary and unspec malig neop post mediastinal lymph nodes,Metastatic solid tumour
B587.,Secondary malignant neoplasm of adrenal gland,Metastatic solid tumour
1976A,MALIGNANT ASCITES,Metastatic solid tumour
B592X,Kaposi's sarcoma of multiple organs,Metastatic solid tumour
B5642,Secondary and unspec malig neop popliteal lymph nodes,Metastatic solid tumour
B5618,Secondary and unspec malig neop bronchopulmonary lymph nodes,Metastatic solid tumour
1976M,PERITONITIS MALIGNANT,Metastatic solid tumour
1990C,NEOPLASTIC DISEASE DISSEMINATED,Metastatic solid tumour
B5832,Cerebral metastasis,Metastatic solid tumour
B5611,Secondary and unspec malig neop intercostal lymph nodes,Metastatic solid tumour
1977A,MALIGNANT NEOPLASM LIVER SECONDARY,Metastatic solid tumour
B562z,Secondary and unspec malig neop intra-abdominal LN NOS,Metastatic solid tumour
B5602,Secondary and unspec malig neop superficial cervical LN,Metastatic solid tumour
B572.,Secondary malignant neoplasm of pleura,Metastatic solid tumour
C354A,Metastatic calcification,Metastatic solid tumour
B5811,Secondary malignant neoplasm of bladder,Metastatic solid tumour
B576.,Secondary malig neop of retroperitoneum and peritoneum,Metastatic solid tumour
ByuC3,[X]Secondary malignant neoplasm/oth+unspc respiratory organs,Metastatic solid tumour
B58y2,Secondary malignant neoplasm of cervix uteri,Metastatic solid tumour
2022M,NEOPLASM MALIGNANT LYMPHOMA METASTATIC,Metastatic solid tumour
B5742,Secondary malignant neoplasm of ileum,Metastatic solid tumour
B570.,Secondary malignant neoplasm of lung,Metastatic solid tumour
B5620,Secondary and unspec malig neop coeliac lymph nodes,Metastatic solid tumour
B5621,Secondary and unspec malig neop superficial mesenteric LN,Metastatic solid tumour
1969A,MALIGNANT NEOPLASM LYMPH GLAND/NODE,Metastatic solid tumour
B5652,Secondary and unspec malig neop circumflex iliac LN,Metastatic solid tumour
B5821,Secondary malignant neoplasm of skin of face,Metastatic solid tumour
B591.,Other malignant neoplasm NOS,Metastatic solid tumour
B5820,Secondary malignant neoplasm of skin of head,Metastatic solid tumour
1970,SECONDARY NEOPLASTIC DEPOSITS LUNG,Metastatic solid tumour
B59..,Malignant neoplasm of unspecified site,Metastatic solid tumour
BB13.,"[M]Carcinoma, metastatic, NOS",Metastatic solid tumour
1990N,NEUROBLASTOMA DISSEMINATED,Metastatic solid tumour
B5632,Secondary and unspec malig neop infraclavicular lymph nodes,Metastatic solid tumour
BB03.,"[M]Neoplasm, metastatic",Metastatic solid tumour
B560.,Secondary and unspec malig neop lymph nodes head/face/neck,Metastatic solid tumour
B581.,Secondary malignant neoplasm of other urinary organs,Metastatic solid tumour
B58y7,Secondary malignant neoplasm of penis,Metastatic solid tumour
B5606,Secondary and unspec malig neop of facial lymph nodes,Metastatic solid tumour
B584.,Secondary malignant neoplasm of other part of nervous system,Metastatic solid tumour
B5812,Secondary malignant neoplasm of urethra,Metastatic solid tumour
B5760,Secondary malignant neoplasm of retroperitoneum,Metastatic solid tumour
B5825,Secondary malignant neoplasm of skin of hip and leg,Metastatic solid tumour
B5640,Secondary and unspec malig neop superficial inguinal LN,Metastatic solid tumour
B5604,Secondary and unspec malig neop deep parotid lymph nodes,Metastatic solid tumour
B58y0,Secondary malignant neoplasm of breast,Metastatic solid tumour
B5615,Secondary and unspec malig neop paratracheal lymph nodes,Metastatic solid tumour
B58y3,Secondary malignant neoplasm of vagina,Metastatic solid tumour
1969M,SECONDARY NEOPLASTIC DEPOSITS LYMPH GLAN,Metastatic solid tumour
B153.,Secondary malignant neoplasm of liver,Metastatic solid tumour
B5609,Secondary and unspec malig neop deep cervical LN,Metastatic solid tumour
B5617,Secondary and unspec malig neop inferior tracheobronchial LN,Metastatic solid tumour
B5603,Secondary and unspec malignant neoplasm occipital lymph node,Metastatic solid tumour
B5823,Secondary malignant neoplasm of skin of trunk,Metastatic solid tumour
B583z,Secondary malignant neoplasm of brain or spinal cord NOS,Metastatic solid tumour
ByuC4,[X]Secondary malignant neoplasm/oth+unspcfd digestive organs,Metastatic solid tumour
B590.,Disseminated malignancy NOS,Metastatic solid tumour
B5612,Secondary and unspec malig neop diaphragmatic lymph nodes,Metastatic solid tumour
B58yz,Secondary malignant neoplasm of other specified site NOS,Metastatic solid tumour
B58..,Secondary malignant neoplasm of other specified sites,Metastatic solid tumour
B56y.,Secondary and unspec malig neop lymph nodes multiple sites,Metastatic solid tumour
B574z,Secondary malig neop of small intestine or duodenum NOS,Metastatic solid tumour
1990M,METASTASIS GENERAL,Metastatic solid tumour
B564.,Secondary and unspec malig neop inguinal and lower limb LN,Metastatic solid tumour
7H62z,Excision or biopsy of lymph node NOS,Metastatic solid tumour
B573.,Secondary malignant neoplasm of other respiratory organs,Metastatic solid tumour
BB03.,[M]Secondary neoplasm,Metastatic solid tumour
B576z,Secondary malig neop of retroperitoneum or peritoneum NOS,Metastatic solid tumour
B564z,Secondary and unspec malig neop of inguinal and leg LN NOS,Metastatic solid tumour
BB14.,[M]Carcinomatosis,Metastatic solid tumour
B5622,Secondary and unspec malig neop inferior mesenteric LN,Metastatic solid tumour
B560z,Secondary unspec malig neop lymph nodes head/face/neck NOS,Metastatic solid tumour
B5610,Secondary and unspec malig neop internal mammary lymph nodes,Metastatic solid tumour
1972B,SECONDARY NEOPLASTIC DEPOSITS PLEURA,Metastatic solid tumour
B5619,Secondary and unspec malig neop pulmonary lymph nodes,Metastatic solid tumour
B5751,Secondary malignant neoplasm of rectum,Metastatic solid tumour
1972A,PLEURAL EFFUSION MALIGNANT SECONDARY,Metastatic solid tumour
B563z,Secondary and unspec malig neop axilla and upper limb LN NOS,Metastatic solid tumour
BBy2.,"[M]No microscopic confirmation tumour, clinically metastatic",Metastatic solid tumour
B57..,Secondary malig neop of respiratory and digestive systems,Metastatic solid tumour
B581z,Secondary malignant neoplasm of other urinary organ NOS,Metastatic solid tumour
B580.,Secondary malignant neoplasm of kidney,Metastatic solid tumour
B561.,Secondary and unspec malig neop intrathoracic lymph nodes,Metastatic solid tumour
ByuC6,[X]2ndry malignant neoplasm/oth+unspec parts/nervous system,Metastatic solid tumour
B58y4,Secondary cancer of the vulva,Metastatic solid tumour
B574.,Secondary malignant neoplasm of small intestine and duodenum,Metastatic solid tumour
B571.,Secondary malignant neoplasm of mediastinum,Metastatic solid tumour
1989,SECONDARY NEOPLASTIC DEPOSITS,Metastatic solid tumour
B5750,Secondary malignant neoplasm of colon,Metastatic solid tumour
B583.,Secondary malignant neoplasm of brain and spinal cord,Metastatic solid tumour
1983,SECONDARY NEOPLASTIC DEPOSITS BRAIN,Metastatic solid tumour
B5810,Secondary malignant neoplasm of ureter,Metastatic solid tumour
ByuC.,"[X]Malignant neoplasm of ill-defined, secondary and unspeci",Metastatic solid tumour
B57y.,Secondary malignant neoplasm of other digestive organ,Metastatic solid tumour
ByuC7,[X]Secondary malignant neoplasm of other specified sites,Metastatic solid tumour
B5741,Secondary malignant neoplasm of jejunum,Metastatic solid tumour
B58y6,Secondary malignant neoplasm of testis,Metastatic solid tumour
B5607,Secondary and unspec malig neop submental lymph nodes,Metastatic solid tumour
B5600,Secondary and unspec malig neop of superficial parotid LN,Metastatic solid tumour
B5650,Secondary and unspec malig neop internal iliac lymph nodes,Metastatic solid tumour
1973M,METASTASIS BRONCHUS,Metastatic solid tumour
1970M,METASTASIS LUNG,Metastatic solid tumour
B5822,Secondary malignant neoplasm of skin of neck,Metastatic solid tumour
B5631,Secondary and unspec malig neop supratrochlear lymph nodes,Metastatic solid tumour
B58..,Secondary carcinoma of other specified sites,Metastatic solid tumour
BB2B.,"[M]Squamous cell carcinoma, metastatic NOS",Metastatic solid tumour
B5624,Secondary and unspec malig neop external iliac lymph nodes,Metastatic solid tumour
209 B,MYELOSCLEROSIS SECONDARY,Metastatic solid tumour
B565.,Secondary and unspec malig neop intrapelvic lymph nodes,Metastatic solid tumour
B58y4,Secondary malignant neoplasm of vulva,Metastatic solid tumour
B5608,Secondary and unspec malig neop anterior cervical LN,Metastatic solid tumour
B57z.,Secondary malig neop of respiratory or digestive system NOS,Metastatic solid tumour
ByuC2,[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions,Metastatic solid tumour
B5831,Secondary malignant neoplasm of spinal cord,Metastatic solid tumour
B582.,Secondary malignant neoplasm of skin,Metastatic solid tumour
B586.,Secondary malignant neoplasm of ovary,Metastatic solid tumour
B5605,Secondary and unspec malig neop submandibular lymph nodes,Metastatic solid tumour
B5850,Pathological fracture due to metastatic bone disease,Metastatic solid tumour
B575z,Secondary malig neop of large intestine or rectum NOS,Metastatic solid tumour
1D18.,Pain from metastases,Metastatic solid tumour
B5616,Secondary and unspec malig neop superfic tracheobronchial LN,Metastatic solid tumour
B58z.,Secondary malignant neoplasm of other specified site NOS,Metastatic solid tumour
1977,SECONDARY NEOPLASTIC DEPOSITS LIVER,Metastatic solid tumour
B575.,Secondary malignant neoplasm of large intestine and rectum,Metastatic solid tumour
B5651,Secondary and unspec malig neop inferior epigastric LN,Metastatic solid tumour
B5824,Secondary malignant neoplasm of skin of shoulder and arm,Metastatic solid tumour
B5623,Secondary and unspec malig neop common iliac lymph nodes,Metastatic solid tumour
B57..,Metastases of respiratory and/or digestive systems,Metastatic solid tumour
B58y1,Secondary malignant neoplasm of uterus,Metastatic solid tumour
B577.,Liver metastases,Metastatic solid tumour
B5654,Secondary and unspec malig neop obturator lymph nodes,Metastatic solid tumour
B565z,Secondary and unspec malig neop intrapelvic LN NOS,Metastatic solid tumour
B58y5,Secondary malignant neoplasm of prostate,Metastatic solid tumour
B56z.,Secondary and unspec malig neop lymph nodes NOS,Metastatic solid tumour
B5613,Secondary and unspec malig neop ant mediastinal lymph nodes,Metastatic solid tumour
B5762,Malignant ascites,Metastatic solid tumour
B56..,Secondary and unspecified malignant neoplasm of lymph nodes,Metastatic solid tumour
ByuC5,[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs,Metastatic solid tumour
B57..,Secondary carcinoma of respiratory and/or digestive systems,Metastatic solid tumour
B582z,Secondary malignant neoplasm of skin NOS,Metastatic solid tumour
B585.,Secondary malignant neoplasm of bone and bone marrow,Metastatic solid tumour
1983A,ADENOCARCINOMA CEREBELLAR METASTATIC,Metastatic solid tumour
J615z,Cryptogenic cirrhosis of liver,Liver disease
J6619,Sclerosing cholangitis unspecified,Liver disease
J6154,Fatty portal cirrhosis,Liver disease
J6616,Obliterative cholangitis,Liver disease
J6158,Indian childhood cirrhosis,Liver disease
J6143,Recurrent hepatitis,Liver disease
J615B,Toxic portal cirrhosis,Liver disease
J6162,Biliary cirrhosis of children,Liver disease
A70D.,Hepatitis C genotype 4,Liver disease
A7073,Chronic viral hepatitis B,Liver disease
J615.,Cirrhosis - non alcoholic,Liver disease
J6157,Congestive cirrhosis,Liver disease
J615A,Pipe-stem portal cirrhosis,Liver disease
J6141,Chronic active hepatitis,Liver disease
5710M,MICRONODULAR CIRRHOSIS,Liver disease
J6618,Secondary sclerosing cholangitis,Liver disease
J61yz,Other non-alcoholic chronic liver disease NOS,Liver disease
J615z,Non-alcoholic cirrhosis NOS,Liver disease
65V3.,Hepatitis notification,Liver disease
J615H,Infectious cirrhosis NOS,Liver disease
J615.,Portal cirrhosis,Liver disease
J615F,Syphilitic portal cirrhosis,Liver disease
J6153,Diffuse nodular cirrhosis,Liver disease
J63X.,"Granulomatous hepatitis, not elsewhere classified",Liver disease
A70C.,Hepatitis C genotype 3,Liver disease
AyuB2,"[X]Chronic viral hepatitis, unspecified",Liver disease
J633.,Hepatitis unspecified,Liver disease
5719C,CIRRHOSIS,Liver disease
AyuB1,[X]Other chronic viral hepatitis,Liver disease
A7072,Chronic viral hepatitis C,Liver disease
5719H,LIVER CIRRHOSIS,Liver disease
J615D,Bacterial portal cirrhosis,Liver disease
J615y,Portal cirrhosis unspecified,Liver disease
9kR..,Chronic hepatitis annual review - enhanced services admin,Liver disease
J6612,Recurrent cholangitis,Liver disease
J612.,Laennec's cirrhosis,Liver disease
A707.,Chronic viral hepatitis,Liver disease
J6160,Primary biliary cirrhosis,Liver disease
Q4091,Congenital hepatitis B infection,Liver disease
J6142,Chronic aggressive hepatitis,Liver disease
J6158,Juvenile portal cirrhosis,Liver disease
A7071,Chronic viral hepatitis B without delta-agent,Liver disease
5710C,CIRRHOSIS ALCOHOLIC,Liver disease
5719C,SECONDARY BILIARY CIRRHOSIS (LIVER),Liver disease
A703.,Viral (serum) hepatitis B,Liver disease
J6617,Primary sclerosing cholangitis,Liver disease
J6156,Capsular portal cirrhosis,Liver disease
J616.,Biliary cirrhosis,Liver disease
C3761,Alpha-1-antitrypsin hepatitis,Liver disease
J6150,Unilobular portal cirrhosis,Liver disease
J614z,Chronic hepatitis NOS,Liver disease
J6323,Hepatitis in toxoplasmosis,Liver disease
J6611,Chronic cholangitis,Liver disease
J6001,Acute hepatitis - noninfective,Liver disease
J615G,Zooparasitic portal cirrhosis,Liver disease
5730C,HEPATITIS CHRONIC ACTIVE,Liver disease
J6354,Toxic liver disease with chronic lobular hepatitis,Liver disease
Q4341,Giant cell hepatitis causing neonatal jaundice,Liver disease
J615z,"Laennec's cirrhosis, non-alcoholic",Liver disease
Jyu77,"[X]Granulomatous hepatitis, not elsewhere classified",Liver disease
J616z,Biliary cirrhosis NOS,Liver disease
J6002,Acute yellow atrophy,Liver disease
J6144,Chronic lobular hepatitis,Liver disease
J614y,Chronic hepatitis unspecified,Liver disease
J6140,Chronic persistent hepatitis,Liver disease
J615z,Cirrhosis of liver NOS,Liver disease
J6170,Chronic alcoholic hepatitis,Liver disease
J612.,Alcoholic cirrhosis of liver,Liver disease
A70G.,Acute hepatitis C,Liver disease
J6356,Toxic liver disease with fibrosis and cirrhosis of liver,Liver disease
A707X,"Chronic viral hepatitis, unspecified",Liver disease
J612.,Florid cirrhosis,Liver disease
J611.,Acute alcoholic hepatitis,Liver disease
J615C,Xanthomatous portal cirrhosis,Liver disease
J614.,Chronic hepatitis,Liver disease
J617.,Alcoholic hepatitis,Liver disease
J6322,Hepatitis in secondary syphilis,Liver disease
070 G,HEPATITIS CHRONIC AGGRESSIVE,Liver disease
5719P,PRIMARY BILIARY CIRRHOSIS (LIVER),Liver disease
J6353,Toxic liver disease with chronic persistent hepatitis,Liver disease
J6141,Autoimmune chronic active hepatitis,Liver disease
J6011,Subacute hepatitis - noninfective,Liver disease
J63y1,Nonspecific reactive hepatitis,Liver disease
J61y8,Nonalcoholic steatohepatitis,Liver disease
AD05.,Toxoplasma hepatitis,Liver disease
J61y.,Other non-alcoholic chronic liver disease,Liver disease
5719M,MACRONODULAR CIRRHOSIS,Liver disease
J61..,Cirrhosis and chronic liver disease,Liver disease
C3104,Glycogenosis with hepatic cirrhosis,Liver disease
J6320,Hepatitis in malaria,Liver disease
Jyu71,[X]Other and unspecified cirrhosis of liver,Liver disease
A7070,Chronic viral hepatitis B with delta-agent,Liver disease
J6151,Postnecrotic cirrhosis of liver,Liver disease
J63B.,Autoimmune hepatitis,Liver disease
A7050,Viral hepatitis C without mention of hepatic coma,Liver disease
A7054,Hepatitis non A non B,Liver disease
AyuJ9,[X]Sequelae of viral hepatitis,Liver disease
J61z.,Chronic liver disease NOS,Liver disease
J615z,Macronodular cirrhosis of liver,Liver disease
J6012,Subacute yellow atrophy,Liver disease
5719C,HEPATITIS CHRONIC,Liver disease
J6161,Secondary biliary cirrhosis,Liver disease
C3500,Pigmentary cirrhosis of liver,Liver disease
A70z0,Hepatitis C,Liver disease
J6355,Toxic liver disease with chronic active hepatitis,Liver disease
J6330,Toxic hepatitis,Liver disease
J6151,Multilobular portal cirrhosis,Liver disease
A70B.,Hepatitis C genotype 2,Liver disease
J61y3,Portal fibrosis without cirrhosis,Liver disease
A70A.,Hepatitis C genotype 1,Liver disease
J6155,Hypertrophic portal cirrhosis,Liver disease
G852.,Oesophageal varices in diseases EC,Liver disease
G852z,Oesophageal varices in diseases EC NOS,Liver disease
76093,Local ligation of oesophageal varices,Liver disease
760F4,Rigid oesophagoscopic banding of oesophageal varices,Liver disease
G8522,Oesophageal varices in cirrhosis of the liver,Liver disease
G8520,Oesophageal varices with bleeding in diseases EC,Liver disease
G850.,Oesophageal varices with bleeding,Liver disease
760C5,Fibreoptic endoscopic banding of oesophageal varices,Liver disease
G8523,Oesophageal varices in alcoholic cirrhosis of the liver,Liver disease
7609,Open operations on oesophageal varices,Liver disease
Gyu94,[X]Oesophageal varices in diseases classified elsewhere,Liver disease
A702.,Viral hepatitis B with coma,Liver disease
760C3,Fibreoptic endoscopic injection sclerotherapy oesoph varices,Liver disease
7609y,Other specified open operation on oesophageal varices,Liver disease
